,comp_@FoxNews,comp_@NYTimes,comp_@bbc,comp_@cbs,comp_@cnn,pos_@bbc,neg_@bbc,neu_@bbc,pos_@cnn,neg_@cnn,neu_@cnn,pos_@NYTimes,neg_@NYTimes,neu_@NYTimes,pos_@FoxNews,neg_@FoxNews,neu_@FoxNews,pos_@cbs,neg_@cbs,neu_@cbs
42,0.5859,0.0,0.0,0.7959,-0.4215,0.0,0.0,1.0,0.095,0.216,0.69,0.0,0.0,1.0,0.202,0.0,0.798,0.214,0.0,0.786
43,-0.7351,-0.6705,0.0,0.807,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.243,0.757,0.0,0.246,0.754,0.378,0.0,0.622
44,-0.3182,0.8326,0.6369,0.0,-0.5106,0.208,0.0,0.792,0.0,0.155,0.845,0.328,0.056,0.617,0.0,0.187,0.813,0.0,0.0,1.0
45,-0.3182,-0.2263,0.3612,0.5319,0.0,0.217,0.0,0.783,0.0,0.0,1.0,0.0,0.101,0.899,0.0,0.247,0.753,0.157,0.062,0.78
46,0.0,0.1027,0.5719,0.5399,-0.802,0.252,0.0,0.748,0.0,0.387,0.613,0.094,0.073,0.833,0.0,0.0,1.0,0.199,0.0,0.801
47,0.128,0.6705,0.0,-0.34,-0.5423,0.0,0.0,1.0,0.0,0.231,0.769,0.317,0.0,0.683,0.12,0.0,0.88,0.115,0.185,0.7
48,-0.296,0.1027,-0.7269,0.7003,0.0258,0.072,0.405,0.523,0.064,0.059,0.876,0.104,0.086,0.811,0.0,0.145,0.855,0.209,0.0,0.791
49,0.0,0.5598,0.6515,0.0,0.0,0.419,0.0,0.581,0.0,0.0,1.0,0.167,0.0,0.833,0.0,0.0,1.0,0.0,0.0,1.0
50,0.0,-0.296,0.6908,0.0,-0.4588,0.241,0.0,0.759,0.0,0.16,0.84,0.0,0.128,0.872,0.0,0.0,1.0,0.0,0.0,1.0
51,0.3182,0.0,0.0,0.7184,0.6808,0.0,0.0,1.0,0.219,0.0,0.781,0.0,0.0,1.0,0.126,0.0,0.874,0.333,0.0,0.667
52,0.0,-0.34,0.0,0.9451,-0.6597,0.0,0.0,1.0,0.0,0.252,0.748,0.086,0.149,0.766,0.0,0.0,1.0,0.42,0.0,0.58
53,-0.5574,-0.875,-0.5719,0.0,0.6808,0.0,0.222,0.778,0.219,0.0,0.781,0.0,0.44,0.56,0.0,0.231,0.769,0.0,0.0,1.0
54,0.0,0.6908,-0.296,0.6996,-0.1901,0.098,0.154,0.748,0.0,0.077,0.923,0.322,0.0,0.678,0.0,0.0,1.0,0.194,0.0,0.806
55,0.4576,0.0,0.0,0.4939,-0.4549,0.0,0.0,1.0,0.0,0.153,0.847,0.0,0.0,1.0,0.12,0.0,0.88,0.314,0.0,0.686
56,0.0,0.0,0.0,0.8997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.355,0.0,0.645
57,0.3612,-0.4404,0.69,0.0,0.3182,0.251,0.0,0.749,0.119,0.0,0.881,0.107,0.206,0.687,0.294,0.0,0.706,0.0,0.0,1.0
58,0.34,0.0,0.0,0.7081,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.146,0.0,0.854,0.311,0.066,0.623
59,0.3818,0.0,0.0,0.636,0.128,0.0,0.0,1.0,0.091,0.0,0.909,0.0,0.0,1.0,0.12,0.0,0.88,0.198,0.0,0.802
60,0.3818,0.0,0.0,0.636,0.128,0.0,0.0,1.0,0.091,0.0,0.909,0.0,0.0,1.0,0.12,0.0,0.88,0.198,0.0,0.802
61,0.4336,-0.1027,-0.8658,0.0,-0.0772,0.0,0.363,0.637,0.0,0.075,0.925,0.0,0.062,0.938,0.144,0.0,0.856,0.0,0.0,1.0
62,0.4939,-0.7717,0.0,0.5106,-0.0258,0.0,0.0,1.0,0.175,0.18,0.645,0.0,0.295,0.705,0.211,0.0,0.789,0.142,0.0,0.858
63,0.0,0.0258,0.34,0.0,-0.6597,0.094,0.0,0.906,0.0,0.252,0.748,0.143,0.139,0.717,0.0,0.0,1.0,0.0,0.0,1.0
64,-0.5423,-0.6124,0.4588,0.5562,-0.0018,0.231,0.0,0.769,0.123,0.123,0.754,0.071,0.257,0.672,0.0,0.243,0.757,0.174,0.0,0.826
65,-0.7096,-0.3818,0.0,0.0,-0.3612,0.0,0.0,1.0,0.064,0.128,0.809,0.152,0.223,0.625,0.0,0.33,0.67,0.0,0.0,1.0
66,0.0,0.0516,0.0,0.7845,0.0,0.0,0.0,1.0,0.063,0.063,0.874,0.1,0.09,0.81,0.0,0.0,1.0,0.309,0.072,0.619
67,-0.5859,-0.1531,0.0,0.0,0.6369,0.0,0.0,1.0,0.296,0.0,0.704,0.0,0.074,0.926,0.0,0.348,0.652,0.0,0.0,1.0
68,0.6808,0.4588,0.0,0.6514,-0.0258,0.0,0.0,1.0,0.199,0.154,0.647,0.16,0.0,0.84,0.237,0.0,0.763,0.213,0.0,0.787
69,-0.0747,-0.7717,-0.1531,0.1867,-0.25,0.096,0.124,0.78,0.068,0.114,0.818,0.0,0.325,0.675,0.128,0.145,0.727,0.08,0.0,0.92
70,0.6124,0.0,-0.7777,0.0,0.0,0.047,0.332,0.621,0.0,0.0,1.0,0.0,0.0,1.0,0.312,0.0,0.688,0.0,0.0,1.0
71,0.7713,0.2732,0.6037,0.6166,0.0,0.36,0.0,0.64,0.0,0.0,1.0,0.1,0.0,0.9,0.282,0.0,0.718,0.161,0.0,0.839
72,0.0,-0.6597,0.8126,0.7096,0.0,0.28,0.0,0.72,0.0,0.0,1.0,0.0,0.252,0.748,0.0,0.0,1.0,0.247,0.0,0.753
73,0.0,-0.7003,0.0,0.296,-0.1226,0.0,0.0,1.0,0.0,0.063,0.937,0.0,0.266,0.734,0.0,0.0,1.0,0.104,0.0,0.896
74,0.0,0.5267,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.185,0.0,0.815,0.0,0.0,1.0,0.0,0.0,1.0
75,0.4019,0.2776,0.5499,0.6514,-0.5106,0.385,0.282,0.332,0.121,0.275,0.604,0.113,0.064,0.823,0.144,0.0,0.856,0.178,0.0,0.822
76,-0.5574,0.4215,-0.5849,0.7088,0.0,0.13,0.31,0.559,0.0,0.0,1.0,0.128,0.0,0.872,0.114,0.295,0.591,0.237,0.0,0.763
77,0.0772,0.0258,0.0,-0.4939,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.061,0.0,0.939,0.075,0.0,0.925,0.077,0.157,0.766
78,-0.9062,-0.34,-0.4215,0.6514,-0.6597,0.088,0.171,0.741,0.0,0.252,0.748,0.086,0.149,0.766,0.0,0.468,0.532,0.194,0.0,0.806
79,-0.8402,0.4215,0.0,0.6115,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.141,0.0,0.859,0.0,0.417,0.583,0.266,0.0,0.734
